Date-Time,Activity,Amount Consumed
2024-12-29 20:15:00,🍼 Drink,90.0
2024-12-29 19:15:00,👶 Diaper,
2024-12-29 18:21:00,🍼 Drink,60.0
2024-12-29 16:07:00,🍼 Drink,90.0
2024-12-29 16:04:00,👶 Diaper,
2024-12-29 14:15:00,🍼 Drink,60.0
2024-12-29 14:13:00,👶 Diaper,
2024-12-29 13:22:00,🍼 Drink,35.0
2024-12-29 12:29:00,🍼 Drink,25.0
2024-12-29 11:18:00,👶 Diaper,
2024-12-29 11:02:00,🍼 Drink,120.0
2024-12-29 07:15:00,🍼 Drink,150.0
2024-12-29 06:59:00,👶 Diaper,
2024-12-28 22:10:00,🍼 Drink,30.0
2024-12-28 21:15:00,🍼 Drink,60.0
2024-12-28 20:45:00,🍼 Drink,30.0
2024-12-28 20:00:00,👶 Diaper,
2024-12-28 18:45:00,🍼 Drink,60.0
2024-12-28 18:30:00,👶 Diaper,
2024-12-28 17:56:00,🍼 Drink,120.0
2024-12-28 15:00:00,🍼 Drink,30.0
2024-12-28 14:27:00,🍼 Drink,90.0
2024-12-28 11:56:00,🍼 Drink,90.0
2024-12-28 11:30:00,👶 Diaper,
2024-12-28 09:00:00,🍼 Drink,150.0
2024-12-28 08:30:00,👶 Diaper,
2024-12-27 23:18:00,🍼 Drink,30.0
2024-12-27 23:01:00,🍼 Drink,60.0
2024-12-27 21:34:00,👶 Diaper,
2024-12-27 20:45:00,🍼 Drink,30.0
2024-12-27 18:43:00,🍼 Drink,60.0
2024-12-27 18:00:00,🍼 Drink,30.0
2024-12-27 15:45:00,🍼 Drink,90.0
2024-12-27 15:30:00,👶 Diaper,
2024-12-27 13:37:00,🍼 Drink,20.0
2024-12-27 13:15:00,🍼 Drink,30.0
2024-12-27 13:00:00,🍼 Drink,90.0
2024-12-27 12:45:00,👶 Diaper,
2024-12-27 10:41:00,🍼 Drink,90.0
2024-12-27 10:15:00,👶 Diaper,
2024-12-27 07:25:00,🍼 Drink,90.0
2024-12-27 07:00:00,👶 Diaper,
2024-12-26 23:00:00,🍼 Drink,40.0
2024-12-26 21:00:00,🍼 Drink,30.0
2024-12-26 20:45:00,🍼 Drink,60.0
2024-12-26 19:00:00,🍼 Drink,30.0
2024-12-26 18:44:00,🍼 Drink,90.0
2024-12-26 18:00:00,👶 Diaper,
2024-12-26 16:00:00,🍼 Drink,90.0
2024-12-26 14:45:00,🍼 Drink,30.0
2024-12-26 14:36:00,👶 Diaper,
2024-12-26 14:00:00,🍼 Drink,30.0
2024-12-26 13:00:00,🍼 Drink,90.0
2024-12-26 10:45:00,🍼 Drink,90.0
2024-12-26 07:45:00,🍼 Drink,30.0
2024-12-26 07:15:00,🍼 Drink,90.0
2024-12-25 22:00:00,🍼 Drink,30.0
2024-12-25 21:30:00,🍼 Drink,30.0
2024-12-25 20:43:00,🍼 Drink,30.0
2024-12-25 20:31:00,🍼 Drink,30.0
2024-12-25 19:30:00,🍼 Drink,30.0
2024-12-25 19:00:00,🍼 Drink,90.0
2024-12-25 17:15:00,👶 Diaper,
2024-12-25 16:00:00,🍼 Drink,30.0
2024-12-25 15:15:00,🍼 Drink,60.0
2024-12-25 12:45:00,🍼 Drink,60.0
2024-12-25 12:30:00,🍼 Drink,90.0
2024-12-25 09:15:00,🍼 Drink,20.0
2024-12-25 07:15:00,🍼 Drink,100.0
2024-12-25 07:00:00,👶 Diaper,
